Mortar assault leaves at least 18 dead,sadness
Goal delight for Sheva,joy
Nigeria hostage feared dead is freed,joy
"Vegetables, not fruit, slow brain decline",surprise
PM: Havana deal a good experiment,joy
Kate is marrying Doherty,joy
NASA revisiting life on Mars question,surprise
"Happy birthday, iPod",joy
Alonso would be happy to retire with three titles,joy
Madonna's New Tot 'Happy at Home' in London,joy
Nicole Kidman asks dad to help stop husband's drinking,sadness
United Finds Good Connection in Win,joy
'Runway': Making Good Without Making Nice,surprise
"We were 'arrogant and stupid' over Iraq, says US diplomat",sadness
Bad reasons to be good,anger
Madonna's new baby's daddy didn't realize adoption was `for good',joy
Women in their 60s 'are perfectly good mothers',sadness
We're a pretty kind 'bully',joy
Moderate drinking reduces men's heart attack risk,sadness
Tom Cruise and Katie Holmes set wedding date,joy
"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",joy
Hurricane Paul Weakens To Tropical Storm,surprise
UK announces immigration restrictions,anger
Three found alive from missing Russian ship -report,joy
Hacker unlocks Apple music download protection,surprise
Resolution approved for international games,joy
Pair of Satellites Will Document Sun in 3-D,joy
Martian Life Could Have Evaded Detection by Viking Landers,anger
The sweet tune of an anniversary,joy
Diplomat acknowledges US arrogance in Iraq,anger
More Human Remains Found at Ground Zero,sadness
Tensions as Hungary marks uprising,surprise
Stanford study warns of Internet addiction,sadness
No evidence of ice reserves on the moon,sadness
A Picture and A Thousand Words,anger
Parachutist dies at bridge-jump festival,sadness
US Troops Killed In October In Iraq,sadness
Deaths linked to flu vaccine,sadness
Perfect lives lose their focus,surprise
Confusion Reigns In the Expanding Digital World,anger
Game on! London exhibition celebrates the history of video games,joy
Making peace from victory over poverty,joy
Marine killed in fighting west of Baghdad,sadness
Scientists create first cloaking device,joy
Amateur rocket scientists reach for space,surprise
Confusion Reigns In the Expanding Digital World,anger
4th person dies after receiving flu shot,sadness
Scientists discover miracle in the depths,surprise
Doctors Seeing Patients Who Think They're Internet Addicted,joy
China launches two satellites into orbit,surprise
"Russian ship sinks, 18-member crew missing",sadness
Iran's president urges higher birth rate,joy
Apple set for massive market gains,surprise
Routine mission turns into hunt for missing comrade,anger
Bad weather slows S.Korean search for Russian ship,anger
Tailors and housewives busy as Muslims celebrate Eid,anger
Active peace brings the promise of development,joy
"Bangladesh ferry sinks, 15 dead",sadness
Bucs find a new kick in life,joy
Google to unveil election mashup,surprise
Hungary police tackle violent protestors,joy
Three drivers had reason to be proud in Brazil,joy
Celebrities Protest Malibu Gas Facility,joy
Lebo: A life lived on the edge,anger
"Presto! He's Batman, then magic man",surprise
Russian ship sinks in Pacific,anger
China Successfully Launches Two Satellites,joy
Prestige has magic touch,joy
"Lies, damned lies, and divorce",sadness
Manning inspires Giants to victory in Dallas,joy
Riot warning for France suburbs,sadness
Full recovery expected for marathon winner,joy
Sony apologises for global battery recall,anger
Budapest calm after night of violent protests,anger
French suburb riots could resume,anger
Baseball: Rogers enjoys his muddied streak,joy
"Cultural revolutionary, the iPod is five",joy
Life on Mars? Maybe We Missed It,sadness
Three found alive from missing Russian ship -report,joy
Moderate drinking reduces men's heart attack risk,joy
The sweet tune of an anniversary,joy
Inconvenient truths,sadness
Dating difficult for Harry Potter,surprise
Students lose their rite of passage,sadness
"Britain to Limit Workers from Romania, Bulgaria",anger
Top General Optimistic on Iraq,sadness
Kim Osorio Wins Sexual Harrassment Suit Against The Source,anger
Silly and substantial,joy
Official laughs for Borat,joy
Speaker Hastert testifies before panel probing sex scandal,anger
On Educating Sexes Separately,anger
Tom Cruise and Katie Holmes set wedding date,joy
Martian Life Could Have Evaded Detection by Viking Landers,anger
Marathon victory comes at heavy cost,anger
College tuition continues climbing,anger
Advantage Cardinals with Suppan in Game 4,joy
NASA spacecraft to measure Sun,joy
Google To Launch Yet Another Search Tool,surprise
Tropical Storm Paul's Outer Bands Hit Mexico's Baja California,sadness
"New Indonesia Calamity, a Mud Bath, Is Man-Made",anger
U.S. Weighs Sanctions Against North Korea,anger
"Rice, in Baghdad, Insists That Iraqis Are ",anger
Senator Says U.S. Should Rethink Iraq Strategy,sadness
German Chief Forges Accord on Financing Health Care,joy
Turkish Writers Say Efforts to Stifle Speech May Backfire,joy
Anti-U.S. Attack Videos Spread on the Internet,anger
Appeal by Chinese Researcher for Times May Soon Be Heard,joy
Brazil Air Force Cites Faults and Confusion in Fatal Crash,sadness
Immigrants and French Reach Deal in Standoff,joy
Genghis Khan Beer? Mongolia Grimaces,anger
Dead Bachelors in Remote China Still Find Wives,surprise
"Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu",anger
Paris Journal: Smoking No Longer Tres Chic in France,joy
An Old Letter Casts Doubts on Iran's Goal for Uranium,joy
Global Sludge Ends in Tragedy for Ivory Coast,sadness
Equipment on Plane in Brazil Collision May Have Been Faulty,sadness
"New Indonesia Calamity, a Mud Bath, Is Man-Made",sadness
Iraqi Journalists Add Laws to List of Dangers,anger
Cleric Said to Lose Reins Over Part of Iraqi Militia,surprise
"Citing Spy Agencies' Study, Democrats Seek Iraq Changes",surprise
Opera Canceled Over a Depiction of Muhammad,anger
Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out,surprise
"Seduced by Snacks? No, Not You",joy
Friends for Life: An Emerging Biology of Emotional Healing,joy
"Alzheimer's Drugs Offer No Help, Study Finds",sadness
Cooking Defines Sephardic Jews at Sukkot,joy
"Fitness: Bodies in Motion, Clean and Sober",joy
In God's Name: Religion-Based Tax Breaks: Housing to Paychecks to Books,joy
"Yankee Dies in Plane Crash, Official Says",sadness
An Elephant Crackup?,sadness
"With YouTube, Grad Student Hits Jackpot Again",joy
Dow flirts with record highs again,joy
'Deep regret' for ex-HP exec,surprise
'Opportunity' knocks on geologist's dream crater,surprise
Squirrel jumps boy in park  rabies suspected,surprise
Girl left comatose after dental visit dies,surprise
School ends football season after 0-4 start,sadness
Charlie Sheen to become highest-paid sitcom star,joy
Jon Stewart mocks benefits of CNN's I,sadness
Ashton Kutcher tells secret to Ryan Seacrest,joy
Nails-on-chalkboard study earns Ig,anger
Gunman 'fine' before shooting,anger
Marijuana may stave off Alzheimer's,surprise
Kentucky seeks alcohol huffing ban,anger
Toddler died from tainted spinach,sadness
Judge dismisses Karr's porn case,anger
Slain Amish girls laid to rest,sadness
Cher auction fetches double pre-sale estimates,joy
Probe under way in Yankee crash,joy
Amish schoolhouse torn down,sadness
Warner will not run in '08,sadness
Reid land deal under scrutiny,surprise
"Flooding washes out road to Valdez, Alaska",sadness
Briton admits U.S. bomb plot role,sadness
Commentary: Minutemen have a right to be idiotic,anger
Madonna files adoption papers,joy
Ex-JonBenet suspect: Child porn case dropped ,anger
"Waste plant fire forces 5,000 to evacuate ",sadness
Toddler died from E. coli tainted spinach ,sadness
Magazine lists women who had abortions ,anger
"Pot smokers may avoid Alzheimer's, study says ",surprise
Student starts white men's club on campus ,anger
Peter Pan flies into chapter two ,surprise
Teen repellent inventor wins infamous prize ,joy
"Cher's dress, car, bed have new owners",surprise
"Dow hits new record, eyes 12,000 ",joy
Ex-Virginia gov not running for president ,surprise
Yankee pitcher's pilot log found ,surprise
Dem leader's $1 million land deal under scrutiny ,joy
"Dad locked up son, watched on TV, police say ",anger
Navarrette: Minutemen have a right to be idiotic ,joy
"Pit bulls jump miniature pony, leave her bloody ",anger
Trailblazing trio protects City by the Bay ,surprise
Madonna files adoption papers in Malawi,joy
'Dr. McDreamy' choked in 'Grey's' scuffle ,sadness
"$10,000 poetry prize awarded ",joy
Las Vegas honour for tiger pair ,joy
UK characters boosting box office ,joy
Cher items snapped up at auction ,surprise
Griffiths scorns Withnail 'play' ,joy
Lily Allen wins web music award ,joy
Costner appeals in casino wrangle,anger
Beyonce copyright claim rejected ,surprise
Cohn gunman jailed for 36 years ,joy
Melua's deep sea gig sets record ,surprise
Sri Lanka clashes kill 129 troops ,sadness
Gunmen kill 11 in Iraq TV raid ,sadness
Italy drops Sicily bridge plans ,surprise
Amish killings school demolished ,sadness
Pamuk wins Nobel Literature prize,joy
Madonna adoption bid approved ,joy
Test to predict breast cancer relapse is approved,sadness
"Two Hussein allies are hanged, Iraqi official says",surprise
Sights and sounds from CES,surprise
Schuey sees Ferrari unveil new car,joy
Closings and cancellations top advice on flu outbreak,joy
Trucks swallowed in subway collapse,anger
Sarkozy letter surprises French cartoons hearing,surprise
Lawmaker seeks iPod ban in crosswalks in New York,sadness
Diabetic waits months for eyeglasses,sadness
Sudan tells United Nations envoy to leave in 72 hours,surprise
5000 years on but couple still hugging,surprise
"Ozzy, a Hero for the hard-rocking masses",surprise
CIA leak trial summary,anger
Dance movie takes over No. 1,joy
Asian nations urge Myanmar reform,surprise
"After Iraq trip, Clinton proposes war limits",anger
7 dead in apartment building fire,sadness
Male sweat boosts women's hormone levels,surprise
Carphone Warehouse's mixed signals,anger
Democrats plot Bush troop increase censure,sadness
Inter Milan set Serie A win record,surprise
US Airways boosts bid for Delta,surprise
Press sees hope in Mecca talks,joy
Bears fan loses bet and changes name,surprise
'Human hair' clue in hunt for airliner,surprise
Johnny Depp to make movie of spy poisoning,sadness
5 money makeovers,surprise
"""Stomp the Yard"" has winning moves in its weekend debut",joy
